case,year,gea_region,mean_price_$/MWh,mean_price_naive_$/MWh,weighting_diff_$/MWh,min_price_$/MWh,max_price_$/MWh,std_price_$/MWh,lcoe_noitc_$/MWh,lcoe_itc_$/MWh,spread_$/MWh,npv_$B,viable,viable_price_check
HighDemand,2030,CAISO,59.75324200913242,59.75324200913242,0.0,18.1,1718.7,138.0772055176136,199.92925602570676,136.81291196297502,-77.0596699538426,-2.946678141855977,False,False
HighDemand,2030,ERCOT,45.61503424657534,45.615034246575334,6.938893903907228e-15,18.6,1263.3,98.44793391900716,199.92925602570676,136.81291196297502,-91.19787771639969,-3.4127518428432007,False,False
HighDemand,2030,FRCC,58.79315068493151,58.793150684931504,6.938893903907228e-15,33.8,1462.9,112.15221495085902,199.92925602570676,136.81291196297502,-78.01976127804352,-2.9783280740306286,False,False
HighDemand,2030,ISONE,37.7745205479452,37.7745205479452,0.0,20.9,196.8,22.999497892539708,199.92925602570676,136.81291196297502,-99.03839141502982,-3.671218637116752,False,False
HighDemand,2030,MISO Central,48.02562785388128,48.025627853881275,6.938893903907228e-15,25.0,586.1,64.5491516878732,199.92925602570676,136.81291196297502,-88.78728410909375,-3.3332853147653867,False,False
HighDemand,2030,MISO North,46.63712328767123,46.63712328767124,-6.938893903907228e-15,18.1,388.5,53.98318496391088,199.92925602570676,136.81291196297502,-90.17578867530379,-3.379058122244212,False,False
HighDemand,2030,MISO South,50.87657534246575,50.876575342465756,-6.938893903907228e-15,30.1,486.5,56.99350322790773,199.92925602570676,136.81291196297502,-85.93633662050928,-3.239302281721849,False,False
HighDemand,2030,Northern Grid East,39.50728310502283,39.50728310502283,0.0,16.1,593.5,62.433840760204205,199.92925602570676,136.81291196297502,-97.3056288579522,-3.614097177913977,False,False
HighDemand,2030,Northern Grid South,46.5416095890411,46.541609589041094,6.938893903907228e-15,15.3,1023.0,91.31573711648021,199.92925602570676,136.81291196297502,-90.27130237393392,-3.382206783217595,False,False
HighDemand,2030,Northern Grid West,38.13699771689498,38.136997716894975,6.938893903907228e-15,7.3,570.4,55.57480905695394,199.92925602570676,136.81291196297502,-98.67591424608004,-3.6592693802878054,False,False
HighDemand,2030,NYISO,54.73623287671233,54.73623287671233,0.0,40.7,188.6,17.789239473904544,199.92925602570676,136.81291196297502,-82.07667908626269,-3.11206657393337,False,False
HighDemand,2030,PJM East,54.504326484018264,54.504326484018264,0.0,28.8,851.3,86.10268707856402,199.92925602570676,136.81291196297502,-82.30858547895676,-3.1197114941764976,False,False
HighDemand,2030,PJM West,50.42071917808219,50.420719178082194,-6.938893903907228e-15,16.2,602.9,90.10897203532843,199.92925602570676,136.81291196297502,-86.39219278489284,-3.2543298278734025,False,False
HighDemand,2030,SERTP,56.681940639269406,56.681940639269406,0.0,30.9,1355.9,113.6877138029871,199.92925602570676,136.81291196297502,-80.13097132370561,-3.0479252603266924,False,False
HighDemand,2030,SPP North,30.152945205479455,30.15294520547945,3.469446951953614e-15,10.6,153.2,19.08198283594594,199.92925602570676,136.81291196297502,-106.65996675749557,-3.9224680095176496,False,False
HighDemand,2030,SPP South,31.306575342465752,31.306575342465752,0.0,11.8,121.0,18.457329109618268,199.92925602570676,136.81291196297502,-105.50633662050927,-3.8844379652188565,False,False
HighDemand,2030,West Connect North,34.9014497716895,34.90144977168949,6.938893903907228e-15,19.2,225.8,21.817408144105304,199.92925602570676,136.81291196297502,-101.91146219128552,-3.7659309763592153,False,False
HighDemand,2030,West Connect South,46.114406392694065,46.11440639269406,6.938893903907228e-15,18.0,1123.8,93.05670195508338,199.92925602570676,136.81291196297502,-90.69850557028096,-3.3962897687090323,False,False
HighNG,2030,CAISO,62.64808219178082,62.64808219178084,-1.3877787807814457e-14,18.0,1663.8,133.90262283732423,199.92925602570676,136.81291196297502,-74.1648297711942,-2.8512481623032193,False,False
HighNG,2030,ERCOT,46.64503424657534,46.64503424657534,0.0,18.4,1146.9,91.71277720546115,199.92925602570676,136.81291196297502,-90.16787771639969,-3.3787973331854637,False,False
HighNG,2030,FRCC,63.17956621004567,63.17956621004567,0.0,33.5,1584.9,121.93494919786076,199.92925602570676,136.81291196297502,-73.63334575292936,-2.8337275028555435,False,False
HighNG,2030,ISONE,41.83081050228311,41.8308105022831,6.938893903907228e-15,23.8,212.4,24.30025230116271,199.92925602570676,136.81291196297502,-94.98210146069192,-3.5375008347583545,False,False
HighNG,2030,MISO Central,51.869109589041095,51.8691095890411,-6.938893903907228e-15,26.7,701.5,70.58405294257886,199.92925602570676,136.81291196297502,-84.94380237393392,-3.206582850983036,False,False
HighNG,2030,MISO North,49.90872146118722,49.90872146118721,6.938893903907228e-15,17.4,328.5,53.139208208725414,199.92925602570676,136.81291196297502,-86.90419050178781,-3.2712081108084035,False,False
HighNG,2030,MISO South,55.41147260273973,55.41147260273973,0.0,27.6,567.5,66.31993174521433,199.92925602570676,136.81291196297502,-81.40143936023529,-3.089806929468627,False,False
HighNG,2030,Northern Grid East,41.790570776255706,41.790570776255706,0.0,15.6,652.4,69.23088868142182,199.92925602570676,136.81291196297502,-95.02234118671932,-3.538827359191387,False,False
HighNG,2030,Northern Grid South,50.80323059360731,50.8032305936073,6.938893903907228e-15,15.0,1135.3,100.7814277203554,199.92925602570676,136.81291196297502,-86.00968136936771,-3.2417201312203527,False,False
HighNG,2030,Northern Grid West,40.92357305936073,40.92357305936073,0.0,9.7,554.8,58.313859856714146,199.92925602570676,136.81291196297502,-95.88933890361429,-3.567408410018132,False,False
HighNG,2030,NYISO,53.33763698630137,53.33763698630136,6.938893903907228e-15,37.4,186.6,18.199952835899097,199.92925602570676,136.81291196297502,-83.47527497667366,-3.1581720473976715,False,False
HighNG,2030,PJM East,53.60811643835616,53.60811643835616,0.0,31.3,722.4,71.05928293314493,199.92925602570676,136.81291196297502,-83.20479552461886,-3.1492555452937747,False,False
HighNG,2030,PJM West,48.40513698630137,48.40513698630137,-6.938893903907228e-15,17.6,501.8,73.32059609353237,199.92925602570676,136.81291196297502,-88.40777497667365,-3.3207745900062045,False,False
HighNG,2030,SERTP,59.08705479452055,59.08705479452055,0.0,31.4,1296.7,111.2996738067964,199.92925602570676,136.81291196297502,-77.72585716845447,-2.9686393653631615,False,False
HighNG,2030,SPP North,30.23816210045662,30.23816210045662,0.0,9.7,155.4,19.4833109487642,199.92925602570676,136.81291196297502,-106.5747498625184,-3.919658788271528,False,False
HighNG,2030,SPP South,35.239212328767124,35.239212328767124,0.0,11.8,178.7,27.37342481147097,199.92925602570676,136.81291196297502,-101.5736996342079,-3.754796450139493,False,False
HighNG,2030,West Connect North,33.97764840182648,33.977648401826485,-6.938893903907228e-15,19.0,158.6,15.987308120944071,199.92925602570676,136.81291196297502,-102.83526356114854,-3.796384590470715,False,False
HighNG,2030,West Connect South,49.48747716894977,49.48747716894977,0.0,17.4,1181.8,98.99828846143178,199.92925602570676,136.81291196297502,-87.32543479402526,-3.2850946577880564,False,False
